scheme,security,horizon,fold,feature,relevance
block_cv,NOR_10Y,126,Block_COVID,nor_nowa_level,0.0
block_cv,NOR_10Y,126,Block_COVID,nor_polrate_chg_1d,0.0
block_cv,NOR_10Y,126,Block_COVID,nor_polrate_days_since_chg,0.0
block_cv,NOR_10Y,126,Block_COVID,nor_polrate_level,0.0
block_cv,NOR_10Y,126,Block_COVID,nor_rb_rate_chg,0.0
block_cv,NOR_10Y,126,Block_COVID,nor_rb_rate_level,0.0
block_cv,NOR_10Y,126,Block_COVID,nor_unemp,0.0
block_cv,NOR_10Y,126,Block_COVID,nor_usdnok_chg_1d,0.0
block_cv,NOR_10Y,126,Block_COVID,nor_usdnok_level,0.0
block_cv,NOR_10Y,126,Block_COVID,nor_usdnok_mom_1m,0.0
block_cv,NOR_10Y,126,Block_COVID,nor_usdnok_mom_3m,0.0
block_cv,NOR_10Y,126,Block_COVID,nor_usdnok_rvol_20d,0.0
block_cv,NOR_10Y,126,Block_COVID,swap_govt_spread,0.0
block_cv,NOR_10Y,126,Block_COVID,xmpca_01,0.0
block_cv,NOR_10Y,126,Block_COVID,xmpca_02,0.0
block_cv,NOR_10Y,126,Block_COVID,xmpca_03,0.0
block_cv,NOR_10Y,126,Block_COVID,xmpca_04,0.0
block_cv,NOR_10Y,126,Block_COVID,xmpca_05,0.0
block_cv,NOR_10Y,126,Block_COVID,xmpca_06,0.0
block_cv,NOR_10Y,126,Block_COVID,xmpca_07,0.0
block_cv,NOR_10Y,126,Block_COVID,xmpca_08,0.0
block_cv,NOR_10Y,126,Block_COVID,xmpca_09,0.0
block_cv,NOR_10Y,126,Block_COVID,xmpca_10,0.0
block_cv,NOR_10Y,126,Block_COVID,xmpca_11,0.0
block_cv,NOR_10Y,126,Block_COVID,xmpca_12,0.0
block_cv,NOR_10Y,126,Block_Hiking,chg_lag1,0.0
block_cv,NOR_10Y,126,Block_Hiking,chg_lag2,0.0
block_cv,NOR_10Y,126,Block_Hiking,chg_lag3,0.0
block_cv,NOR_10Y,126,Block_Hiking,chg_lag4,0.0
block_cv,NOR_10Y,126,Block_Hiking,chg_lag5,0.0
block_cv,NOR_10Y,126,Block_Hiking,carry_roll,0.0
block_cv,NOR_10Y,126,Block_Hiking,mom_63d,0.0
block_cv,NOR_10Y,126,Block_Hiking,mom_1m,0.0
block_cv,NOR_10Y,126,Block_Hiking,mom_3m,0.0
block_cv,NOR_10Y,126,Block_Hiking,mom_6m,0.0
block_cv,NOR_10Y,126,Block_Hiking,mom_12m,0.0
block_cv,NOR_10Y,126,Block_Hiking,dev_ma_3m,0.0
block_cv,NOR_10Y,126,Block_Hiking,dev_ma_12m,0.0
block_cv,NOR_10Y,126,Block_Hiking,vol_20d,0.0
block_cv,NOR_10Y,126,Block_Hiking,vol_regime,100.0
block_cv,NOR_10Y,126,Block_Hiking,vol_zscore,0.0
block_cv,NOR_10Y,126,Block_Hiking,level_zscore,0.0
block_cv,NOR_10Y,126,Block_Hiking,slope_10_1,0.0
block_cv,NOR_10Y,126,Block_Hiking,slope_10_5,0.0
block_cv,NOR_10Y,126,Block_Hiking,slope_5_1,0.0
block_cv,NOR_10Y,126,Block_Hiking,sofr_mom_1m,0.0
block_cv,NOR_10Y,126,Block_Hiking,ibor_level,0.0
block_cv,NOR_10Y,126,Block_Hiking,ibor_chg_1d,0.0
block_cv,NOR_10Y,126,Block_Hiking,ibor_mom_1m,0.0
block_cv,NOR_10Y,126,Block_Hiking,ibor_term_slope,0.0
block_cv,NOR_10Y,126,Block_Hiking,swap_ibor_basis,0.0
block_cv,NOR_10Y,126,Block_Hiking,move_level,0.0
block_cv,NOR_10Y,126,Block_Hiking,move_zscore,0.0
block_cv,NOR_10Y,126,Block_Hiking,vix_level,0.0
block_cv,NOR_10Y,126,Block_Hiking,vix_zscore,0.0
block_cv,NOR_10Y,126,Block_Hiking,v2x_level,0.0
block_cv,NOR_10Y,126,Block_Hiking,vxn_level,0.0
block_cv,NOR_10Y,126,Block_Hiking,ovx_level,0.0
block_cv,NOR_10Y,126,Block_Hiking,gvz_level,0.0
block_cv,NOR_10Y,126,Block_Hiking,spx_mom_1m,0.0
block_cv,NOR_10Y,126,Block_Hiking,spx_mom_3m,0.0
block_cv,NOR_10Y,126,Block_Hiking,sx5e_mom_1m,0.0
block_cv,NOR_10Y,126,Block_Hiking,sx5e_mom_3m,0.0
block_cv,NOR_10Y,126,Block_Hiking,mxwo_mom_1m,0.0
block_cv,NOR_10Y,126,Block_Hiking,ndx_mom_1m,0.0
block_cv,NOR_10Y,126,Block_Hiking,oil_mom_1m,0.0
block_cv,NOR_10Y,126,Block_Hiking,oil_mom_3m,0.0
block_cv,NOR_10Y,126,Block_Hiking,copper_mom_1m,0.0
block_cv,NOR_10Y,126,Block_Hiking,opec_prod,0.0
block_cv,NOR_10Y,126,Block_Hiking,natgas_mom_1m,0.0
block_cv,NOR_10Y,126,Block_Hiking,be5y_level,0.0
block_cv,NOR_10Y,126,Block_Hiking,be10y_level,0.0
block_cv,NOR_10Y,126,Block_Hiking,be_slope,0.0
block_cv,NOR_10Y,126,Block_Hiking,be5y_chg_1m,0.0
block_cv,NOR_10Y,126,Block_Hiking,ig_spread,0.0
block_cv,NOR_10Y,126,Block_Hiking,hy_spread,0.0
block_cv,NOR_10Y,126,Block_Hiking,ig_chg_1m,0.0
block_cv,NOR_10Y,126,Block_Hiking,hy_chg_1m,0.0
block_cv,NOR_10Y,126,Block_Hiking,cpi_yoy,0.0
block_cv,NOR_10Y,126,Block_Hiking,pce_core_chg,0.0
block_cv,NOR_10Y,126,Block_Hiking,nfp_change,0.0
block_cv,NOR_10Y,126,Block_Hiking,pmi_us,0.0
block_cv,NOR_10Y,126,Block_Hiking,pmi_eur,0.0
block_cv,NOR_10Y,126,Block_Hiking,unemp_eur,0.0
block_cv,NOR_10Y,126,Block_Hiking,cpi_nsa_level,0.0
block_cv,NOR_10Y,126,Block_Hiking,pce_core_level,0.0
block_cv,NOR_10Y,126,Block_Hiking,eur_3m,0.0
block_cv,NOR_10Y,126,Block_Hiking,eur_1w,0.0
block_cv,NOR_10Y,126,Block_Hiking,nor_ibor_1m,0.0
block_cv,NOR_10Y,126,Block_Hiking,nor_ibor_6m,0.0
block_cv,NOR_10Y,126,Block_Hiking,nor_ecb_dfr_chg,0.0
block_cv,NOR_10Y,126,Block_Hiking,nor_ecb_dfr_level,0.0
block_cv,NOR_10Y,126,Block_Hiking,nor_eurnok_chg_1d,0.0
block_cv,NOR_10Y,126,Block_Hiking,nor_eurnok_level,0.0
block_cv,NOR_10Y,126,Block_Hiking,nor_eurnok_mom_1m,0.0
block_cv,NOR_10Y,126,Block_Hiking,nor_eurnok_mom_3m,0.0
